Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,ID
,Stonevault,2nd,both,H>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221082
,Siege of Boralus,1st,m0,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159251
,City of Threads,1st,both,M>C,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,221169
,Necrotic Wake,1st,m0,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178731
,Siege of Boralus,2nd,m0,V>C,0%,,,,,,,33%,33%,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,159320
,Ara-Kara,1st,both,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221152
,Dawnbreaker,2nd,both,V>H,0%,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,221202
,Dawnbreaker,Last,both,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,225586
,Grim Batol,2nd,m0,M>H,0%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,133290
,Grim Batol,3rd,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133293
,Necrotic Wake,3rd,m0,V>C,0%,,,,,,,,,,50%,,50%,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,178745
,Siege of Boralus,2nd,m0,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,159379
,City of Threads,3rd,both,V>H,50%,,,,,,,,,,,,,,,,,,,,,,25%,33%,,,,,,,,,,,,,,,,33%,221178
,Siege of Boralus,3rd,m0,H>C,33%,,25%,25%,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,25%,25%,,159428
"Feet (Dk, m0)",2 available in m0,,m0,,16%,,15%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Mage, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Paladin, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,15%,,15%,,,,,,,,,,,,,,,,
"Feet (Priest, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Warlock, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Warrior, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,15%,,
"Feet (Dh, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Druid, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Monk, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Rogue, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Evoker, m0)",7 available in m0,,m0,,,,,,,,,,,,44%,,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Hunter, m0)",7 available in m0,,m0,,,,,,,,,,,,,,,,,43%,,,,,,,,,,,,,,,,,,,,,,,,,
"Feet (Shaman, m0)",7 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,,,,,,,,33%,,33%,,,,,,,,,33%,,25%,33%,,33%,33%,,,,,33%,,25%,,,,,,33%,221181
,Dawnbreaker,Last,both,C>H,25%,,,,,,,,,,,,,,,,,,,25%,,25%,,25%,25%,,,,,25%,,,25%,,,,,,,,212448
,Stonevault,1st,both,M>H,100%,50%,,,,50%,,50%,33%,,,,,,,,,,,33%,,50%,50%,33%,,,,,,,,33%,,33%,,,,,,33%,221077
,Mists of Tirna,2nd,m0,M>C,33%,,,,,,,33%,33%,,,,,,,,,,,33%,,33%,,,,,,,25%,,25%,,33%,,,,,,,,178707
"Neck (Dh, m0)",4 available in m0,,m0,,,,,,,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neck (Dk, m0)",4 available in m0,,m0,,36%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neck (Druid, m0)",4 available in m0,,m0,,,,,,,,,29%,27%,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neck (Evoker, m0)",4 available in m0,,m0,,,,,,,,,,,,,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neck (Hunter, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neck (Mage, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neck (Monk, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,25%,,28%,,,,,,,,,,,,,,,,,,,
"Neck (Paladin, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,25%,23%,,,,,,,,,,,,,,,,,
"Neck (Priest, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,29%,,,,,,,,,,,,,,
"Neck (Rogue, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neck (Shaman, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,,25%,,,,,,,
"Neck (Warlock, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neck (Warrior, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,
,Ara-Kara,2nd,both,V>C,50%,33%,,,,33%,,,33%,,,,,,,,,,,33%,,,,33%,,,,,,,,,,,,,,,,33%,221154
,Dawnbreaker,Last,both,C>H,25%,,,,,,,,,,,,,,,,,,,25%,,25%,,25%,25%,,,,,25%,,,25%,,,,,,,,225574
,Stonevault,3rd,both,M>H,50%,,33%,33%,50%,,33%,50%,,33%,,,,,,,,,,,33%,50%,33%,,33%,,,,,,,33%,,33%,,,,33%,33%,,221088
,Grim Batol,3rd,m0,V>C,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,,,,133292
,Grim Batol,3rd,m0,M>C,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,,,,133363
,Grim Batol,Last,m0,V>C,20%,,16%,,,,20%,,,20%,,,,,,,,,,,20%,,,20%,20%,,,,,,,20%,,20%,,,,,16%,,133309
"Back (Dh, m0)",6 available in m0,,m0,,,,,,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back (Dk, m0)",6 available in m0,,m0,,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back (Druid, m0)",6 available in m0,,m0,,,,,,,,34%,37%,,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back (Evoker, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back (Hunter, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back (Mage, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back (Monk, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,34%,36%,,,,,,,,,,,,,,,,,,,
"Back (Paladin, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,
"Back (Priest, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back (Rogue, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,,35%,,,,,,,,,,
"Back (Shaman, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,,34%,,,,,,,
"Back (Warlock, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Back (Warrior, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Threads,Last,both,V>H,33%,,,,,,33%,,,33%,,,,,,,,,,,33%,,33%,,33%,,,,33%,,33%,33%,,33%,,,,33%,33%,,221189
,Dawnbreaker,1st,both,C>H,33%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,50%,,50%,,,,,,,221136
,Dawnbreaker,2nd,both,V>M,50%,,,,,,,25%,25%,,,,,,,20%,,,,25%,,25%,33%,,,,,,25%,,25%,,,,,,,,,,221141
,Grim Batol,1st,m0,M>C,50%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,133286
,Grim Batol,2nd,m0,V>C,50%,33%,,,,33%,,,33%,33%,,33%,,,,,,,,33%,33%,,33%,33%,,33%,33%,,,,,,,33%,,,,,,33%,133287
,Grim Batol,Last,m0,H>M,20%,,16%,,,,20%,,,20%,,,,,,,,,,,20%,,,20%,20%,,,,,,,20%,,20%,,,,,16%,,133299
,Necrotic Wake,1st,m0,H>V,50%,,33%,,,,,,,,,,,33%,33%,,,,,,,,,33%,,,,,,,,,,,,,,,33%,33%,178736
,Necrotic Wake,Last,m0,V>C,33%,,,,,,,,,33%,,33%,,,,,,,,,33%,,33%,,33%,33%,33%,,,,,,,33%,,,,33%,33%,,178781
,Siege of Boralus,1st,m0,M>C,33%,,,,,,,,,,,,,,,,,,,33%,,33%,,,33%,,,,,33%,,,33%,,,,,33%,33%,,162541
,Siege of Boralus,3rd,m0,C>H,33%,,25%,25%,33%,,33%,33%,,,33%,,33%,,,,,,,,,33%,,,25%,,,50%,,,,33%,33%,,,,,25%,25%,,159461
"Ring (Dh, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ring (Dk, m0)",10 available in m0,,m0,,54%,,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ring (Druid, m0)",10 available in m0,,m0,,,,,,,,55%,,,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ring (Evoker, m0)",10 available in m0,,m0,,,,,,,,,,,,,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ring (Hunter, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,61%,61%,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ring (Mage, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ring (Monk, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,55%,,,,,,,,,,,,,,,,,,,,
"Ring (Paladin, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,56%,,54%,,,,,,,,,,,,,,,,
"Ring (Priest, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,,,,,,,,,,,,,
"Ring (Rogue, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ring (Shaman, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56%,,54%,,,,,,,
"Ring (Warlock, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ring (Warrior, m0)",10 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54%,52%,,
,Ara-Kara,Last,both,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221160
,City of Threads,Last,both,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,221183
,Dawnbreaker,2nd,both,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,221138
,Dawnbreaker,Last,both,Agi,0%,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,0%,,0%,0%,,0%,,,,,,,212398
,Dawnbreaker,Last,both,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212391
,Stonevault,2nd,both,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221084
,Stonevault,Last,both,Agi,0%,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,0%,,0%,0%,,0%,,,,,,,221090
,Grim Batol,3rd,m0,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,133296
,Mists of Tirna,2nd,m0,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,178710
,Necrotic Wake,3rd,m0,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,178743
,Siege of Boralus,1st,m0,Agi,0%,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,0%,,0%,0%,,0%,,,,,,,159973
,Siege of Boralus,Last,m0,Agi,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159651
"Agi1hWeapon (Monk, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,
"Agi1hWeapon (Shaman, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,
"Agi1hWeapon (Dh, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agi1hWeapon (Rogue, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,,,,,,,,,,,
,Stonevault,Last,both,Str,33%,0%,,0%,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,0%,,,221091
,Grim Batol,Last,m0,Str,16%,0%,,0%,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,0%,16%,,133301
,Mists of Tirna,Last,m0,Str,50%,0%,,0%,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,0%,,33%,178711
,Necrotic Wake,1st,m0,Str,33%,0%,,0%,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,0%,,,178730
,Siege of Boralus,2nd,m0,Str,33%,0%,,0%,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,0%,,,159649
"Str1hWeapon (Dk, m0)",5 available in m0,,m0,,29%,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Str1hWeapon (Paladin, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,,,,
"Str1hWeapon (Warrior, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,27%,
,Ara-Kara,1st,both,Int,0%,,,,,,,,,,,,,,,,,,,0%,,0%,,0%,0%,,,,,,,,,,,,,,,,221150
,Ara-Kara,Last,both,Int,0%,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,221165
,City of Threads,2nd,both,Int,0%,,,,,,25%,0%,0%,,25%,,25%,,,,,,,,,,,,,,,25%,,,,25%,0%,,,,,,,,221171
,Grim Batol,1st,m0,Int,0%,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,133283
,Mists of Tirna,1st,m0,Int,0%,,,,,,,0%,0%,,,,,,,,,,,0%,,0%,,0%,0%,,,,,,,,0%,,,,,,,,178709
,Necrotic Wake,2nd,m0,Int,0%,,,,,,,,,,,,,,,,,,,0%,,0%,,0%,0%,,,,,,,,,,,,,,,,178737
"Int1hWeapon (Monk, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,,,,,,,
"Int1hWeapon (Paladin, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,
"Int1hWeapon (Druid, m0)",4 available in m0,,m0,,,,,,,,23%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Int1hWeapon (Priest, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,,,
"Int1hWeapon (Shaman, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,0%,,,,,,,,
"Int1hWeapon (Mage, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Int1hWeapon (Warlock, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Int1hWeapon (Evoker, m0)",6 available in m0,,m0,,,,,,,,,,,,34%,,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ara-Kara,Last,both,Agi,0%,,,,,,0%,,,0%,,,,0%,0%,,,,,,0%,,,,,,,,,,,,,,,,,,,,221159
,Dawnbreaker,2nd,both,Agi,0%,,,,,,0%,,,0%,,,,0%,0%,,,,,,0%,,,,,,,,,,,,,,,,,,,,221137
,Stonevault,1st,both,Agi,0%,,,,,,0%,,33%,0%,,,,0%,0%,,,,,33%,0%,,,,,,,,,,,,,,,,,,,,221078
"Agi2hWeapon (Druid, m0)",3 available in m0,,m0,,,,,,,,0%,,17%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agi2hWeapon (Hunter, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agi2hWeapon (Monk, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,17%,0%,,,,,,,,,,,,,,,,,,,,
,City of Threads,Last,both,Str,33%,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,0%,221184
,Grim Batol,Last,m0,Str,20%,,16%,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,16%,0%,133298
,Mists of Tirna,1st,m0,Str,50%,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,0%,178713
,Necrotic Wake,Last,m0,Str,33%,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,0%,178780
,Siege of Boralus,1st,m0,Str,33%,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,0%,159972
,Siege of Boralus,3rd,m0,Str,33%,,25%,25%,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,0%,159650
"Str2hWeapon (Dk, m0)",6 available in m0,,m0,,34%,,33%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Str2hWeapon (Paladin, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,
"Str2hWeapon (Warrior, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
,City of Threads,1st,both,Int,0%,,,,,,,0%,0%,,,,,,,,,,,0%,,0%,,,,,,,,,,,0%,,,,,,,,221166
,Stonevault,2nd,both,Int,0%,,,,,,,0%,0%,,,,,,,,,,,,,,,0%,0%,,,,,,,,0%,,,,,,,,221083
,Stonevault,3rd,both,Int,0%,,,,,,,0%,0%,,,,,,,,,,,0%,,0%,,,,,,,,,,,0%,,,,,,,,221085
,Grim Batol,Last,m0,Int,0%,,,,,,,0%,0%,,,,,,,,,,,0%,,0%,,,,,,,,,,,0%,,,,,,,,133303
,Mists of Tirna,Last,m0,Int,0%,,,,,,,0%,0%,,,,,,,,,,,0%,,0%,,,,,,,,,,,0%,,,,,,,,178714
"Int2hWeapon (Paladin, m0)",1 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,
"Int2hWeapon (Evoker, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Int2hWeapon (Mage, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Int2hWeapon (Monk, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,,,,,,,
"Int2hWeapon (Priest, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Int2hWeapon (Warlock, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Int2hWeapon (Druid, m0)",5 available in m0,,m0,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Int2hWeapon (Shaman, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,
,Stonevault,1st,both,Agi,0%,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,221074
,Stonevault,Last,both,Agi,0%,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,221089
,Necrotic Wake,1st,m0,Agi,0%,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,178735
"Ranged (Hunter, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Threads,2nd,both,Int,0%,,,,,,25%,0%,0%,,25%,,25%,,,,,,,0%,,0%,,0%,0%,,,25%,,,,25%,0%,,,,,,,,221172
,Dawnbreaker,1st,both,Int,0%,,,,,,,0%,0%,,,,,,,,,,,0%,,0%,,0%,0%,,,,,,,,0%,,,,,,,,221132
"Offhand (Druid, m0)",2 available in m0,,m0,,,,,,,,11%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Offhand (Evoker, m0)",2 available in m0,,m0,,,,,,,,,,,,15%,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Offhand (Mage, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Offhand (Monk, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,0%,,0%,,,,,,,,,,,,,,,,,,,
"Offhand (Paladin, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,
"Offhand (Priest, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,,,,,,,,,,,,,
"Offhand (Shaman, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,0%,,,,,,,,
"Offhand (Warlock, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Threads,3rd,both,"Str,Int",0%,,,,,,,,,,,,,,,,,,,,,,25%,,0%,,,,,,,,0%,25%,,,,0%,0%,,221177
,Stonevault,1st,both,"Str,Int",0%,,,,,,,,,,,,,,,,,,,,,,,33%,0%,,,,,,,,0%,,,,,0%,0%,,221073
,Mists of Tirna,Last,m0,"Str,Int",0%,,,,,,,,,,,,,,,,,,,,,,,33%,0%,,,,,,,,0%,,,,,0%,0%,,178712
,Necrotic Wake,3rd,m0,"Str,Int",0%,,,,,,,,,,,,,,,,,,,,,,,33%,0%,,,,,,,33%,0%,,,,,0%,0%,,178750
"Shield (Paladin, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,24%,0%,,,,,,,,,,,,,,,,
"Shield (Shaman, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,0%,,,,,,,,
"Shield (Warrior, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,
,City of Threads,2nd,both,"Dps,Agi",50%,0%,,,,0%,25%,,0%,0%,,0%,,,,,,,,0%,0%,,0%,0%,,0%,0%,,,,,25%,,0%,,,,,,0%,219319
,Stonevault,3rd,both,"Dps,",33%,0%,,,,0%,33%,,0%,0%,,0%,,,,,,,,0%,0%,,0%,0%,,0%,0%,,,,,33%,,0%,,,,,,0%,219301
,Necrotic Wake,3rd,m0,"Dps,Int",33%,0%,,,,0%,,,0%,0%,,0%,,,,,,,,0%,0%,,0%,0%,,0%,0%,,33%,,33%,33%,,0%,,,,,,0%,178772
,Siege of Boralus,3rd,m0,"Dps,Int",25%,0%,,,,0%,,,0%,0%,,0%,,,,,,,,0%,0%,,0%,0%,,0%,0%,,,,,,,0%,,,,,,0%,159622
"DpsTrinket (Dh, m0)",4 available in m0,,m0,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DpsTrinket (Dk, m0)",4 available in m0,,m0,,25%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DpsTrinket (Druid, m0)",4 available in m0,,m0,,,,,,,,25%,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DpsTrinket (Evoker, m0)",4 available in m0,,m0,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DpsTrinket (Hunter, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DpsTrinket (Mage, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DpsTrinket (Monk, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,
"DpsTrinket (Paladin, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,
"DpsTrinket (Priest, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,
"DpsTrinket (Rogue, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,29%,,,,,,,,,,
"DpsTrinket (Shaman, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,,0%,,,,,,,
"DpsTrinket (Warlock, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
